Course Code,Course Title,Credit Hrs,Lecturer Name,Room Name,Day,Time
INFT 245 / COSC 245 / BBIS 245 / INFT 445,Entrepreneurship and Human Development / / COSC 445 Entrepreneurship and Human Development / Entrpreneurship and Human Development / IT Entrepreneurship,NC,W. Ronky Amber-Doh,CS2,Thu,2:00 PM - 4:30 PM
INFT 119,Information Technology Foundation,NC,E. Okoe,CS3,Wed,2:00 PM - 4:30 PM
COSC 470 / INFT 470,Computer and Cyber Forensics,NC,M. Asare Tetteh,CS3,Mon,2:00 PM - 4:30 PM
COSC 113 / CSCD 113,"Elements of Progamming [CS, BMET] / Elements of Programming [CS]",NC,R. Amponsah,CS3,Tue,7:00 AM - 9:30 AM
CMME 115,Introduction to Communication Skills [Sec A],NC,A. Oye,Bulley Room 4,Wed,2:00 PM - 4:30 PM
CMME 115,Introduction to Communication Skills [Sec A],NC,A. Oye,Bulley Room 3,Thu,7:00 AM - 9:30 AM
CMME 115,Introduction to Communication Skills [Sec A],NC,A. Oye,American High,Thu,10:00 AM - 12:30 PM
PSYC 105,Introduction to Psychology [Sec B],NC,Akua K. Amponsah,Bulley Room 2,Thu,7:00 AM - 9:30 AM
PSYC 105,Introduction to Psychology [Sec B],NC,Akua K. Amponsah,Bulley Room 1,Thu,2:00 PM - 4:30 PM
GNED 468,Job Search Strategies and Techniques [Sec A],NC,Ama O. Karikari,Bulley Room 2,Wed,7:00 AM - 9:30 AM
GNED 468,Job Search Strategies and Techniques [Sec A],NC,Ama O. Karikari,Bulley Room 3,Wed,2:00 PM - 4:30 PM
GNED 230,Career Exploration and Planning [Sec A],NC,Ama O. Karikari,American High,Mon,7:00 AM - 9:30 AM
GNED 230,Career Exploration and Planning [Sec A],NC,Ama O. Karikari,Bulley Room 5,Thu,10:00 AM - 12:30 PM
GNED 125,Study Skills [Sec B],NC,Ama O. Karikari,Bulley Room 2,Mon,10:00 AM - 12:30 PM
GNED 125,Study Skills [Sec B],NC,Ama O. Karikari,American High,Thu,7:00 AM - 9:30 AM
ENGL 112,Language and Writing Skills II [Sec B],NC,C. Pokuaa,B. Ball Court,Mon,7:00 AM - 9:30 AM
ENGL 112,Language and Writing Skills II [Sec B],NC,C. Pokuaa,Bulley Room 5,Mon,10:00 AM - 12:30 PM
ENGL 112,Language and Writing Skills II [Sec B],NC,C. Pokuaa,Boabab RM5,Fri,7:00 AM - 9:30 AM
SOCI 115,Principles of Sociology [Sec A],NC,Dr. D. Dovie,Bulley Room 1,Fri,7:00 AM - 9:30 AM
RELB 163,Life and Teachings of Jesus [Sec A],NC,Dr. F. Tenortey,Boabab RM5,Wed,7:00 AM - 9:30 AM
RELB 163,Life and Teachings of Jesus [Sec A],NC,Dr. F. Tenortey,Baobab RM3,Mon,7:00 AM - 9:30 AM
RELT 385,Introduction to Biblical Foundation of Ethics [Sec A],NC,Dr. J. Andor,Bulley Room 1,Mon,10:00 AM - 12:30 PM
ENGL 111,Language and Writing Skills I [Sec A],NC,Dr. S. Adjei-Mensah,B. Ball Court,Wed,2:00 PM - 4:30 PM
ENGL 111,Language and Writing Skills I [Sec A],NC,Dr. S. Adjei-Mensah,Baobab RM1,Wed,7:00 AM - 9:30 AM
ENGL 111,Language and Writing Skills I [Sec A],NC,Dr. S. Adjei-Mensah,Bulley Room 4,Wed,10:00 AM - 12:30 PM
RELG 451,Bible and Family Dynamics [Sec A],NC,Dr. S. Amoh,Baobab RM3,Tue,7:00 AM - 9:30 AM
RELG 451,Bible and Family Dynamics [Sec A],NC,Dr. S. Amoh,B. Ball Court,Tue,2:00 PM - 4:30 PM
AFST 205,Introduction to African Music [Sec A],NC,E. Boahen,Bulley Room 2,Wed,10:00 AM - 12:30 PM
AFST 205,Introduction to African Music [Sec A],NC,E. Boahen,Baobab RM5,Fri,10:00 AM - 12:30 PM
AFST 243,Chieftaincy and Development [Sec B],NC,F. Opoku,Bulley Room 4,Mon,2:00 PM - 4:30 PM
AFST 243,Chieftaincy and Development [Sec B],NC,F. Opoku,Baobab RM1,Mon,7:00 AM - 9:30 AM
FREN 121,French for General Communication I [Sec A],NC,J. Elorm Doufodji,Bulley Room 3,Thu,10:00 AM - 12:30 PM
FREN 121,French for General Communication I [Sec A],NC,J. Elorm Doufodji,Baobab RM3,Mon,10:00 AM - 12:30 PM
FREN 122,French for General Communication II [Sec A],NC,J. Rhule,B. Ball Court,Mon,2:00 PM - 4:30 PM
FREN 122,French for General Communication II [Sec A],NC,J. Rhule,Baobab RM1,Wed,2:00 PM - 4:30 PM
PEAC 100,Physical Activity [Sec A],NC,K. Oheneba Nti,Bulley Room 2,Mon,7:00 AM - 9:30 AM
HLTH 200,Health Principles [Sec A],NC,K. Oheneba Nti,Baobab RM1,Mon,2:00 PM - 4:30 PM
HLTH 200,Health Principles [Sec A],NC,K. Oheneba Nti,American High,Tue,2:00 PM - 4:30 PM
MATH 121,College Algebra [Sec A],NC,O. Osei-Tutu,Baobab RM3,Thu,10:00 AM - 12:30 PM
RELB 250,Principles of Christian Faith [Sec B],NC,Ps. E. H. Takyi,Bulley Room 3,Wed,7:00 AM - 9:30 AM
RELB 250,Principles of Christian Faith [Sec B],NC,Ps. E. Osei,Bulley Room 3,Tue,10:00 AM - 12:30 PM
RELT 385,Introduction to Biblical Foundation of Ethics [Sec A],NC,Ps. S. Appiah,Baobab RM1,Tue,7:00 AM - 9:30 AM
CMME 115,Introduction to Communication Skills [Sec A],NC,A. Oye,Baobab RM3,Wed,10:00 AM - 12:30 PM
CMME 115,Introduction to Communication Skills [Sec C],NC,A. Oye,Bulley Room 4,Thu,10:00 AM - 12:30 PM
CMME 115,Introduction to Communication Skills [Sec B],NC,A. Oye,Bulley Room 3,Wed,7:00 AM - 9:30 AM
PSYC 105,Introduction to Psychology [Sec B],NC,Akua K. Amponsah,American High,Thu,7:00 AM - 9:30 AM
PSYC 105,Introduction to Psychology [Sec A],NC,Akua K. Amponsah,Bulley Room 3,Thu,2:00 PM - 4:30 PM
GNED 468,Job Search Strategies and Techniques [Sec A],NC,Ama O. Karikari,American High,Tue,10:00 AM - 12:30 PM
GNED 468,Job Search Strategies and Techniques [Sec B],NC,Ama O. Karikari,Boabab RM5,Tue,7:00 AM - 9:30 AM
GNED 230,Career Exploration and Planning [Sec A],NC,Ama O. Karikari,Bulley Room 4,Mon,7:00 AM - 9:30 AM
GNED 230,Career Exploration and Planning [Sec B],NC,Ama O. Karikari,Bulley Room 1,Mon,2:00 PM - 4:30 PM
GNED 125,Study Skills [Sec B],NC,Ama O. Karikari,Bulley Room 1,Thu,10:00 AM - 12:30 PM
GNED 125,Study Skills [Sec A],NC,Ama O. Karikari,American High,Wed,7:00 AM - 9:30 AM
ENGL 112,Language and Writing Skills II [Sec B],NC,C. Pokuaa,Bulley Room 3,Fri,10:00 AM - 12:30 PM
ENGL 112,Language and Writing Skills II [Sec A],NC,C. Pokuaa,B. Ball Court,Mon,2:00 PM - 4:30 PM
ENGL 112,Language and Writing Skills II [Sec C],NC,C. Pokuaa,Bulley Room 1,Thu,2:00 PM - 4:30 PM
SOCI 115,Principles of Sociology [Sec A],NC,Dr. D. Dovie,Bulley Room 5,Fri,10:00 AM - 12:30 PM
RELB 163,Life and Teachings of Jesus [Sec A],NC,Dr. F. Tenortey,Bulley Room 1,Mon,10:00 AM - 12:30 PM
RELB 163,Life and Teachings of Jesus [Sec B],NC,Dr. F. Tenortey,Bulley Room 2,Wed,7:00 AM - 9:30 AM
RELT 385,Introduction to Biblical Foundation of Ethics [Sec A],NC,Dr. J. Andor,Baobab RM5,Mon,2:00 PM - 4:30 PM
ENGL 111,Language and Writing Skills I [Sec A],NC,Dr. S. Adjei-Mensah,Baobab RM5,Tue,7:00 AM - 9:30 AM
ENGL 111,Language and Writing Skills I [Sec C],NC,Dr. S. Adjei-Mensah,Bulley Room 1,Tue,10:00 AM - 12:30 PM
ENGL 111,Language and Writing Skills I [Sec B],NC,Dr. S. Adjei-Mensah,Bulley Room 5,Wed,7:00 AM - 9:30 AM
RELG 451,Bible and Family Dynamics [Sec A],NC,Dr. S. Amoh,Baobab RM3,Thu,10:00 AM - 12:30 PM
RELG 451,Bible and Family Dynamics [Sec B],NC,Dr. S. Amoh,Bulley Room 4,Thu,2:00 PM - 4:30 PM
AFST 205,Introduction to African Music [Sec A],NC,E. Boahen,Baobab RM3,Wed,7:00 AM - 9:30 AM
AFST 205,Introduction to African Music [Sec B],NC,E. Boahen,Bulley Room 1,Fri,7:00 AM - 9:30 AM
AFST 243,Chieftaincy and Development [Sec B],NC,F. Opoku,Bulley Room 5,Mon,2:00 PM - 4:30 PM
AFST 243,Chieftaincy and Development [Sec A],NC,F. Opoku,Baobab RM5,Wed,7:00 AM - 9:30 AM
FREN 121,French for General Communication I [Sec A],NC,J. Elorm Doufodji,Bulley Room 3,Tue,2:00 PM - 4:30 PM
FREN 121,French for General Communication I [Sec B],NC,J. Elorm Doufodji,Bulley Room 4,Tue,7:00 AM - 9:30 AM
FREN 122,French for General Communication II [Sec A],NC,J. Rhule,Baobab RM3,Mon,7:00 AM - 9:30 AM
FREN 122,French for General Communication II [Sec B],NC,J. Rhule,Bulley Room 1,Wed,10:00 AM - 12:30 PM
PEAC 100,Physical Activity [Sec A],NC,K. Oheneba Nti,Baobab RM1,Fri,10:00 AM - 12:30 PM
HLTH 200,Health Principles [Sec A],NC,K. Oheneba Nti,Baobab RM1,Mon,7:00 AM - 9:30 AM
HLTH 200,Health Principles [Sec B],NC,K. Oheneba Nti,Bulley Room 1,Wed,7:00 AM - 9:30 AM
MATH 121,College Algebra [Sec A],NC,O. Osei-Tutu,Boabab RM5,Thu,2:00 PM - 4:30 PM
RELB 250,Principles of Christian Faith [Sec B],NC,Ps. E. H. Takyi,Baobab RM3,Wed,2:00 PM - 4:30 PM
RELB 250,Principles of Christian Faith [Sec A],NC,Ps. E. Osei,Baobab RM1,Tue,2:00 PM - 4:30 PM
